time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T18:21:06.490Z,35.604,-117.401,7.91,1.25,ml,22,80,0.05285,0.22,ci,ci39042680,2019-09-04T18:24:46.052Z,"18km S of Trona, CA",earthquake,0.4,0.69,0.256,19,automatic,ci,ci
2019-09-04T18:20:30.260Z,35.6731667,-117.4868333,4.6,1.12,ml,18,98,0.05204,0.19,ci,ci39042672,2019-09-04T18:24:11.052Z,"13km SW of Searles Valley, CA",earthquake,0.31,0.64,0.1,14,automatic,ci,ci
2019-09-04T18:17:47.080Z,35.6025,-117.3913333,2.49,1.55,ml,24,82,0.05992,0.24,ci,ci39042664,2019-09-04T18:21:42.034Z,"18km S of Trona, CA",earthquake,0.36,0.58,0.238,21,automatic,ci,ci
2019-09-04T18:13:06.300Z,35.779,-117.6108333,10.97,0.99,ml,21,109,0.03823,0.21,ci,ci39042640,2019-09-04T18:16:42.003Z,"18km NNE of Ridgecrest, CA",earthquake,0.37,0.73,0.202,14,automatic,ci,ci
2019-09-04T18:06:04.110Z,35.6983333,-117.5275,10.3,1.62,ml,28,66,0.08333,0.16,ci,ci39042632,2019-09-04T18:16:49.320Z,"14km SW of Searles Valley, CA",earthquake,0.24,0.56,0.198,26,automatic,ci,ci
2019-09-04T18:02:53.490Z,35.7093333,-117.545,7.46,0.83,ml,18,125,0.08929,0.15,ci,ci39042616,2019-09-04T18:06:41.731Z,"14km WSW of Searles Valley, CA",earthquake,0.4,0.97,0.156,9,automatic,ci,ci
2019-09-04T18:01:09.530Z,36.2068333,-117.8545,1.74,2.29,ml,29,67,0.08907,0.19,ci,ci39042608,2019-09-04T18:51:03.593Z,"16km ESE of Olancha, CA",earthquake,0.32,0.6,0.202,25,automatic,ci,ci
2019-09-04T17:51:27.410Z,35.6641667,-117.4601667,4.96,1.09,ml,19,56,0.02972,0.17,ci,ci39042592,2019-09-04T17:55:11.848Z,"13km SSW of Searles Valley, CA",earthquake,0.3,0.47,0.126,12,automatic,ci,ci
2019-09-04T17:42:52.190Z,38.2891655,-122.175499,12.19,2.45,md,41,99,0.07312,0.21,nc,nc73265185,2019-09-04T21:41:55.975Z,"4km NNW of Green Valley, CA",earthquake,0.34,0.5,0.13,35,automatic,nc,nc
2019-09-04T17:38:34.110Z,35.7223333,-117.5635,3.72,0.68,ml,15,124,0.09722,0.26,ci,ci39042568,2019-09-04T17:42:10.894Z,"15km NE of Ridgecrest, CA",earthquake,0.57,1.79,0.15,8,automatic,ci,ci
